,time,rid,cluster
0,2006-09-24 01:44:00,2,1
1,2009-11-20 03:06:00,2,2
2,2010-03-06 03:30:00,2,0
3,2010-06-17 00:24:00,2,1
4,2011-11-18 07:04:00,2,2
5,2011-12-25 06:45:00,2,0
6,2012-02-26 09:11:00,2,0
7,2015-02-28 09:25:00,2,2
8,2017-12-19 08:50:00,2,2
9,2010-08-02 15:43:00,71,1
10,2012-08-10 04:21:00,71,1
11,2013-02-23 13:43:00,71,0
12,2014-10-14 11:39:00,71,1
13,2015-03-01 04:34:00,71,0
14,2015-12-16 02:03:00,71,0
15,2016-01-14 04:20:00,71,0
16,2016-06-04 03:42:00,71,1
17,2017-04-09 08:03:00,71,2
18,2010-12-16 03:25:00,66,0
19,2011-01-18 05:05:00,66,0
20,2013-11-23 09:45:00,66,0
21,2016-12-18 04:14:00,66,0
22,2011-10-07 19:30:00,50,0
23,2013-10-18 04:04:00,50,0
24,2014-01-23 05:00:00,50,0
25,2016-01-29 04:22:00,50,0
26,2018-02-13 07:05:00,50,0
27,2007-10-27 09:03:00,27,2
28,2008-12-09 06:18:00,27,0
29,2010-12-07 09:27:00,27,2
30,2011-11-08 09:47:00,27,2
31,2012-01-29 04:42:00,27,0
32,2012-11-30 08:33:00,27,0
33,2014-10-31 07:52:00,27,2
34,2015-12-07 11:20:00,27,2
35,2017-12-18 11:34:00,27,2
